Time, Tdelta, x_pos, y_pos, z_pos, x_v, y_v, z_v, phi, theta, psi, phi_v, theta_v, psi_v, w0, w1, w2, w3, pwm0, pwm1, pw2, pwm3
29056,     0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.04, -0.13, -0.04,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29070,    14.00,  0.00, -0.00, -0.00,  0.00, -0.00, -0.00, -0.00, -0.00, -0.00, -0.04, -0.17, -0.08,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29085,    15.00,  0.00, -0.00, -0.00,  0.00, -0.00, -0.00, -0.00, -0.00, -0.00,  0.02, -0.08,  0.02,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29140,    55.00,  0.00, -0.00,  0.00,  0.00, -0.00,  0.00, -0.00, -0.01, -0.00, -0.08, -0.08, -0.05,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29156,    16.00,  0.00, -0.00,  0.00,  0.00, -0.00,  0.00, -0.01, -0.01, -0.00, -0.02, -0.09,  0.12,   951,   951,   951,   951,  1427,  1332,  1047,  1332
29170,    14.00,  0.00, -0.00,  0.00,  0.00, -0.00,  0.00, -0.01, -0.01, -0.00, -0.05, -0.15, -0.04,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29188,    18.00,  0.00, -0.00,  0.00,  0.00, -0.00,  0.00, -0.01, -0.01, -0.00, -0.15,  0.03, -0.05,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29204,    16.00,  0.00, -0.00,  0.00,  0.00, -0.00,  0.00, -0.01, -0.01, -0.00, -0.12, -0.04,  0.05,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29218,    14.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.01, -0.01, -0.00, -0.23,  0.14, -0.04,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29233,    15.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.01, -0.01, -0.00,  0.02, -0.26,  0.08,   951,   951,   951,   951,  1427,  1332,  1047,  1332
29248,    15.00,  0.00, -0.00,  0.00,  0.00,  0.00, -0.00, -0.01, -0.02, -0.00, -0.06, -0.11, -0.11,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29263,    15.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.01, -0.01, -0.00,  0.04,  0.10,  0.02,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29278,    15.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.01, -0.01, -0.00, -0.02, -0.04, -0.05,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29295,    17.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.02, -0.02, -0.00, -0.15, -0.12,  0.02,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29311,    16.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.02, -0.02, -0.00,  0.07, -0.10,  0.00,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29326,    15.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.01, -0.02, -0.01,  0.18, -0.24, -0.12,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29341,    15.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.01, -0.02, -0.01,  0.11, -0.12, -0.07,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29355,    14.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.01, -0.03, -0.01,  0.16, -0.16,  0.02,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29370,    15.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.01, -0.03, -0.01,  0.14, -0.06,  0.08,   951,   951,   951,   951,  1427,  1332,  1047,  1332
29388,    18.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.00, -0.03, -0.00,  0.11, -0.08,  0.08,   951,   951,   951,   951,  1427,  1332,  1047,  1332
29403,    15.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.01, -0.01, -0.03, -0.00, -0.09, -0.02, -0.03,   951,   951,   951,   951,  1427,  1332,  1046,  1332
29418,    15.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.01, -0.00, -0.03, -0.00,  0.14, -0.10, -0.03,   951,   951,   951,   951,  1427,  1332,  1046,  1332
